Date,Balance
12/30/2021,42344.58
12/31/2021,42234.48
1/3/2022,42504.78
1/4/2022,42479.28
1/5/2022,41655.18
1/6/2022,41613.53
1/7/2022,41442.91
1/10/2022,41384.89
1/11/2022,41765.63
1/12/2022,41882.58
1/13/2022,41287.85
1/14/2022,41320.88
1/18/2022,40560.57
1/19/2022,40167.13
1/20/2022,39725.30
1/21/2022,38974.49
1/24/2022,39083.62
1/25/2022,38606.80
1/26/2022,38548.89
1/27/2022,38340.72
1/28/2022,39272.40
1/31/2022,40014.65
2/1/2022,40290.75
2/2/2022,40669.48
2/3/2022,39677.15
2/4/2022,39883.47
2/7/2022,39735.90
2/8/2022,40069.68
2/9/2022,40650.69
2/10/2022,39914.92
2/11/2022,39156.53
2/14/2022,39007.74
2/15/2022,39624.06
2/16/2022,39659.72
2/17/2022,38818.93
2/18/2022,38539.44
2/22/2022,38150.19
2/23/2022,37448.23
2/24/2022,38009.95
2/25/2022,38861.37
2/28/2022,38768.11
3/1/2022,38167.20
3/2/2022,38877.11
3/3/2022,38671.06
3/4/2022,38365.56
3/7/2022,37233.78
3/8/2022,36965.69
3/9/2022,37915.71
3/10/2022,37752.67
3/11/2022,37261.89
3/14/2022,36986.15
3/15/2022,37777.65
3/16/2022,38623.87
3/17/2022,39098.95
3/18/2022,39556.40
3/21/2022,39540.58
3/22/2022,39987.39
3/23/2022,39495.55
3/24/2022,40060.33
3/25/2022,40264.64
3/28/2022,40550.52
3/29/2022,41049.29
3/30/2022,40790.68
3/31/2022,40150.27
4/1/2022,40286.78
4/4/2022,40613.10
4/5/2022,40101.37
4/6/2022,39712.39
4/7/2022,39883.15
4/8/2022,39775.47
4/11/2022,39103.26
4/12/2022,38970.31
4/13/2022,39406.78
4/14/2022,38929.96
4/18/2022,38922.17
4/19/2022,39548.82
4/20/2022,39525.09
4/21/2022,38940.12
4/22/2022,37861.48
4/25/2022,38077.29
4/26/2022,37007.32
4/27/2022,37085.03
4/28/2022,38001.03
4/29/2022,36621.60
5/2/2022,36830.34
5/3/2022,37007.12
5/4/2022,38113.64
5/5/2022,36756.79
5/6/2022,36547.28
5/9/2022,35377.76
5/10/2022,35466.21
5/11/2022,34881.02
5/12/2022,34835.67
5/13/2022,35668.24
5/16/2022,35529.14
5/17/2022,36246.83
5/18/2022,34782.45
5/19/2022,34580.72
5/20/2022,34584.17
5/23/2022,35227.44
5/24/2022,34942.10
5/25/2022,35274.05
5/26/2022,35976.00
5/27/2022,36864.61
5/31/2022,36632.36
6/1/2022,36357.62
6/2/2022,37026.60
6/3/2022,36423.07
6/6/2022,36535.98
6/7/2022,36883.07
6/8/2022,36484.73
6/9/2022,35616.39
6/10/2022,34579.96
6/13/2022,33238.26
6/14/2022,33111.95
6/15/2022,33595.38
6/16/2022,32503.53
6/17/2022,32575.04
6/21/2022,33373.13
6/22/2022,33329.75
6/23/2022,33646.38
6/24/2022,34675.96
6/27/2022,34571.93
6/28/2022,33877.03
6/29/2022,33853.32
6/30/2022,33555.41
7/1/2022,33911.10
7/5/2022,33965.36
7/6/2022,34087.63
7/7/2022,34598.95
7/8/2022,34571.27
7/11/2022,34173.70
7/12/2022,33859.30
7/13/2022,33706.93
7/14/2022,33605.81
7/15/2022,34251.04
7/18/2022,33963.33
7/19/2022,34900.72
7/20/2022,35106.64
7/21/2022,35454.19
7/22/2022,35124.47
7/25/2022,35170.13
7/26/2022,34765.67
7/27/2022,35676.53
7/28/2022,36108.22
7/29/2022,36620.96
8/1/2022,36518.42
8/2/2022,36273.74
8/3/2022,36839.62
8/4/2022,36810.14
8/5/2022,36751.25
8/8/2022,36707.15
8/9/2022,36552.98
8/10/2022,37331.55
8/11/2022,37305.42
8/12/2022,37950.81
8/15/2022,38102.61
8/16/2022,38175.00
8/17/2022,37900.14
8/18/2022,37987.31
8/19/2022,37497.28
8/22/2022,36694.84
8/23/2022,36614.11
8/24/2022,36720.29
8/25/2022,37238.04
8/26/2022,35983.12
8/29/2022,35742.04
8/30/2022,35348.87
8/31/2022,35073.15
9/1/2022,35178.37
9/2/2022,34801.96
9/6/2022,34659.27
9/7/2022,35293.54
9/8/2022,35526.48
9/9/2022,36070.03
9/12/2022,36452.37
9/13/2022,34877.63
9/14/2022,34996.22
9/15/2022,34600.76
9/16/2022,34351.63
9/19/2022,34588.66
9/20/2022,34197.81
9/21/2022,33613.02
9/22/2022,33330.68
9/23/2022,32757.39
9/26/2022,32419.99
9/27/2022,32351.90
9/28/2022,32989.24
9/29/2022,32293.16
9/30/2022,31805.54
10/3/2022,32629.30
10/4/2022,33627.76
10/5/2022,33560.50
10/6/2022,33218.18
10/7/2022,32288.08
10/10/2022,32045.92
10/11/2022,31837.62
10/12/2022,31732.55
10/13/2022,32557.60
10/14/2022,31785.98
10/17/2022,32628.31
10/18/2022,33000.28
10/19/2022,32779.17
10/20/2022,32516.94
10/21/2022,33287.59
10/24/2022,33683.71
10/25/2022,34232.76
10/26/2022,33979.44
10/27/2022,33772.16
10/28/2022,34602.96
