Symbol,Name,High,Low,Close,Volume,Change ($),Change (%)
AVX,Hl Global Enterprises Limited,0.2600,0.2600,0.2600,0,0.0000,0.00
AW9U,First Real Estate Inv Trust,0.2650,0.2600,0.2600,2534800,0.0000,0.00
AWC,Lindeteves-jacoberg Ltd,0.5400,0.5400,0.5400,0,0.0000,0.00
AWG,Aei Corporation Ltd,0.5000,0.5000,0.5000,0,0.0000,0.00
AWI,Thakral Corporation Ltd,0.5650,0.5650,0.5650,1500,0.0000,0.00
AWK,Fuxing China Group Limited,0.2450,0.2400,0.2450,6300,0.0000,0.00
AWM,Shanghai Turbo Enterprises Ltd,0.0480,0.0480,0.0480,0,0.0000,0.00
AWV,Captii Limited,0.4150,0.4150,0.4150,0,0.0000,0.00
AWX,Aem Holdings Ltd,3.820,3.760,3.820,1207500,0.090,2.41
AWZ,Multi-chem Limited,1.790,1.780,1.780,4000,0.000,0.00
AXB,Yongnam Holdings Limited,0.0260,0.0260,0.0260,0,0.0000,0.00
AYN,Global Testing Corporation Ltd,1.100,1.100,1.100,3000,0.030,2.80
AYV,Acma Ltd.,0.0430,0.0420,0.0420,26000,-0.0010,2.33
AZA,Ipc Corporation Limited,0.1300,0.1300,0.1300,2100,0.0000,0.00
AZG,8telecom Intl Holdings Co Ltd,0.0690,0.0690,0.0690,0,0.0000,0.00
AZR,United Food Holdings Limited,0.0430,0.0430,0.0430,0,0.0000,0.00
AZT,Lottvision Limited,0.0850,0.0850,0.0850,0,0.0000,0.00
B0Z,China Fishery Group Limited,0.0760,0.0760,0.0760,0,0.0000,0.00
B26,Ban Leong Technologies Limited,0.3800,0.3800,0.3800,136300,0.0000,0.00
B28,Bonvests Holdings Ltd,1.010,1.010,1.010,900,0.010,1.00
B49,World Precision Machinery Ltd,0.4500,0.4500,0.4500,0,0.0000,0.00
B58,Banyan Tree Holdings Limited,0.3950,0.3800,0.3950,733800,0.0100,2.60
B61,Bukit Sembawang Estates Ltd,4.100,4.070,4.090,17800,0.020,0.49
B69,Broadway Industrial Group Ltd,0.0930,0.0920,0.0930,78400,0.0020,2.20
B73,Global Investments Limited,0.1200,0.1200,0.1200,33100,0.0000,0.00
